"","a","b","g","u"
"Item_1",1.00730280110576,-1.80851929551812,0.0880899010140114,1
"Item_2",0.704490631962188,-1.5716765533522,0.33353543035351,1
"Item_3",0.856130484276256,-0.816799724524985,0.205102468382616,1
"Item_4",1.02685765948543,-0.488534027044519,0.274317182797072,1
"Item_5",1.16268547108156,-1.83674088345361,0.24633549475156,1
"Item_6",0.705234062363571,-0.580030227671107,0.202934727941394,1
"Item_7",0.843969223689066,-0.344665600061229,0.312797948820638,1
"Item_8",1.65762202060778,-0.0534826398934926,0.177240949291993,1
"Item_9",0.997760784627108,0.91414886817605,0.143023127095073,1
"Item_10",0.717976486710804,1.8530194232212,0.359782389932036,1
"Item_11",1.06340293033606,-0.360000445586168,0.236169963143261,1
"Item_12",0.705116955804241,-0.904059863638866,0.337788100097217,1
"Item_13",0.857896145457807,-0.202105057583989,0.298469332792487,1
"Item_14",0.922607420951341,0.529398403638808,0.157468366264063,1
"Item_15",1.17717893839797,-0.216659853700547,0.259962009385731,1
"Item_16",1.71405040758697,0.965684710275625,0.189982104892937,1
"Item_17",1.0694092257485,-0.564330994531431,0.376174892609995,1
"Item_18",0.786574179105279,1.6596006231178,0.252401702898342,1
"Item_19",1.00071284872896,0.818077149553949,0.167069814956448,1
"Item_20",1.05093941593078,2.26685910677902,0.25351806027117,1
"Item_21",1.1415863369386,0.437730920052276,0.229089889139968,1
"Item_22",0.869951686211519,-0.00378898950657338,0.343429538965339,1
"Item_23",0.834063520186941,1.04317132197515,0.263828388689869,1
"Item_24",1.17855784908208,0.821587177498733,0.364661907479469,1
"Item_25",1.04914414121371,0.535199065785506,0.320968063643608,1
"Item_26",1.21937589086074,0.381095235217013,0.507207170910318,1
"Item_27",0.846945133651838,-0.965728288749636,0.0983246231628052,1
"Item_28",1.01110708245802,0.606831699735644,0.211365089803608,1
"Item_29",1.22948816201567,0.119001960329106,0.164131318873597,1
"Item_30",0.911893803713819,1.02847423266009,0.186701431428066,1
"Item_31",0.930197569253244,1.54616926026093,0.310742066562137,1
"Item_32",0.984492915975085,0.526407745952629,0.283550370072549,1
"Item_33",1.00970046584074,-0.600190628099968,0.276271187533193,1
"Item_34",1.02207855615162,-0.521515000288534,0.283935801083779,1
"Item_35",0.98851178709496,-0.198355171892036,0.116760886543428,1
"Item_36",1.19852608585617,-0.947816966030203,0.1858687817535,1
"Item_37",0.92316073305533,1.46364966563853,0.321698237428135,1
"Item_38",0.767481740063012,-1.19987683035558,0.208071319269132,1
"Item_39",0.994823909466265,-0.126262328952203,0.221181223141668,1
"Item_40",1.05547608061982,0.092623330839045,0.203311595243494,1
"Item_41",1.36061117101435,0.466237625123869,0.126254318123435,1
"Item_42",1.08702963240764,-0.577733125021191,0.239464906118567,1
"Item_43",1.46292071517807,-1.8033277759421,0.332296331572383,1
"Item_44",1.17269508920359,0.250137389901477,0.234006022175547,1
"Item_45",0.551992502757654,-3.40060945126899,0.137904537483423,1
"Item_46",1.33458990651982,0.773531728469291,0.325771267258651,1
"Item_47",0.957598678846913,-0.932603104766355,0.144925979692095,1
"Item_48",1.46013390837814,-0.239469445235382,0.335564105868317,1
"Item_49",1.18379212109301,-0.0287550811708975,0.191069219815914,1
"Item_50",1.05502163363876,-1.09671927643876,0.124188472217389,1
"Item_51",1.39678090122721,-0.14084924864169,0.257432591694234,1
